,Metadata_broad_sample,mean_average_precision,p_value,corrected_p_value,below_p,below_corrected_p
0,BRD-A12994259-001-11-9,0.2581150793650794,0.23997600239976002,0.3017657138395749,False,False
1,BRD-A22769835-300-05-7,0.19128902143608026,0.3972602739726027,0.43036529680365293,False,False
2,BRD-A53576514-048-02-8,0.16583694083694084,0.4871512848715128,0.5154740339919496,False,False
3,BRD-A87435144-001-01-6,0.8680555555555556,0.0006999300069993001,0.0014154140141541401,True,True
4,BRD-K00818915-001-02-9,0.37584155680509496,0.13458654134586542,0.1884211578842116,False,False
5,BRD-K01826510-001-09-9,0.23248544218938955,0.2940705929407059,0.35654066172330134,False,False
6,BRD-K02965346-001-01-8,1.0,9.999000099990002e-05,0.00025997400259974003,True,True
7,BRD-K03063480-001-08-9,1.0,9.999000099990002e-05,0.00025997400259974003,True,True
8,BRD-K04923131-001-17-9,1.0,9.999000099990002e-05,0.00025997400259974003,True,True
9,BRD-K06182768-001-02-3,0.41549953314659194,0.11078892110788921,0.16002844160028443,False,False
10,BRD-K06883221-001-02-9,0.21680226915327536,0.32226777322267774,0.3717146803838135,False,False
11,BRD-K09372874-001-02-9,1.0,9.999000099990002e-05,0.00025997400259974003,True,True
12,BRD-K12511835-003-03-9,1.0,9.999000099990002e-05,0.00025997400259974003,True,True
13,BRD-K12737986-001-01-4,0.1556814713064713,0.5367463253674633,0.5488080405442602,False,False
14,BRD-K13094524-001-10-9,1.0,9.999000099990002e-05,0.00025997400259974003,True,True
15,BRD-K13606314-001-02-9,0.451497113997114,0.07039296070392961,0.10331870038802572,False,False
16,BRD-K16189898-001-26-9,0.9791666666666666,0.00039996000399960006,0.0008877161064381367,True,True
17,BRD-K16803204-001-02-9,0.21331628611040376,0.33036696330366966,0.3717146803838135,False,False
18,BRD-K17953061-001-05-1,0.925,0.00039996000399960006,0.0008877161064381367,True,True
19,BRD-K19477839-001-10-9,0.21540395520658678,0.32556744325567444,0.3717146803838135,False,False
20,BRD-K19871656-001-01-3,1.0,9.999000099990002e-05,0.00025997400259974003,True,True
21,BRD-K20290250-001-03-9,0.4540824915824916,0.0690930906909309,0.10307329922745431,False,False
